%time,field.header.seq,field.header.stamp,field.header.frame_id,field.position.lon,field.position.lat,field.position.height,field.pitch,field.roll,field.heading,field.linear_velocity.x,field.linear_velocity.y,field.linear_velocity.z,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.rtk_flag,field.odom_type,field.auxiliary_type,field.location_valid_flag,field.origin_lat,field.origin_lon,field.utm_position.x,field.utm_position.y,field.utm_position.z,field.change_origin_flag,field.utm_position_next.x,field.utm_position_next.y,field.utm_position_next.z,field.position_std_dev.x,field.position_std_dev.y,field.position_std_dev.z,field.orientation_std_dev.x,field.orientation_std_dev.y,field.orientation_std_dev.z,field.linear_velocity_std_dev.x,field.linear_velocity_std_dev.y,field.linear_velocity_std_dev.z,field.linear_acceleration_std_dev.x,field.linear_acceleration_std_dev.y,field.linear_acceleration_std_dev.z,field.angular_velocity_std_dev.x,field.angular_velocity_std_dev.y,field.angular_velocity_std_dev.z
1665537749654182661,387317,1665484681908061816,location,114.3352839,30.48909109999999,33.75800000000021,0.057143161814430146,0.011125112624646858,0.04275843737217411,11.371791500000002,-0.06598009999999763,-0.6274928999999977,0.9860430395424034,-1.589692445980797,9.057160870396798,0.008867408300805736,0.009932658638005737,-0.14559389059319428,3,1,0,1,30.425457029885372,114.09623523096009,-1534.7007356359577,-16970.51712077415,33.75800000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749664923699,387318,1665484681918015224,location,114.3352839,30.48909209999999,33.76400000000021,0.057143161814430146,0.011125112624646858,0.04410063047354207,11.374843200000003,-0.08123859999999763,-0.6213894999999976,0.9980679484384034,-1.6426020451231969,9.178612450246398,0.013927347402505738,0.01725625470625574,-0.14412917137954429,3,1,0,1,30.425457029885372,114.09623523096009,-1534.5882989456427,-16970.51215902816,33.76400000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749673527091,387319,1665484681928018168,location,114.3352839,30.48909309999999,33.77000000000021,0.05733490368605424,0.011125112624646858,0.04563456544653555,11.377894900000003,-0.09954879999999763,-0.6183377999999976,0.9547782764128033,-1.233755142659197,9.397465792153598,0.015525222908305738,0.014193659986805737,-0.14479495284029428,3,1,0,1,30.425457029885372,114.09623523096009,-1534.4756229731327,-16970.50701353677,33.77000000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749683687048,387320,1665484681938111288,location,114.3352839,30.489094099999992,33.77700000000021,0.057526645557678335,0.011125112624646858,0.046976758547904396,11.377894900000003,-0.11480729999999763,-0.6152860999999976,0.9066786408288033,-1.8205706967839972,9.375820956140798,0.007269532795005737,0.017788879874855737,-0.14266445216589427,3,1,0,1,30.425457029885372,114.09623523096009,-1534.3629808566732,-16970.501718079326,33.77700000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749696073208,387321,1665484681948039608,location,114.3352839,30.48909519999999,33.78300000000021,0.05771838742930243,0.011125112624646858,0.048510693520896986,11.380946600000003,-0.12701409999999763,-0.6183377999999976,0.9896505122112034,-1.564440137299197,9.1774099593568,0.004206938075555737,0.01818834875130574,-0.14306392104234428,3,1,0,1,30.425457029885372,114.09623523096009,-1534.2501706822623,-16970.496241282697,33.78300000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749705288533,387322,1665484681958007160,location,114.3352839,30.48909619999999,33.78900000000021,0.05791012930092653,0.010933370753022762,0.049852886622265835,11.380946600000003,-0.14227259999999764,-0.6122343999999976,0.9704106579776034,-1.4718483387999972,9.604294225164798,0.0008780307718057371,0.014193659986805737,-0.14279760845804423,3,1,0,1,30.425457029885372,114.09623523096009,-1534.137193048339,-16970.490604350907,33.78900000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749713512658,387323,1665484681968007512,location,114.3352839,30.48909719999999,33.79700000000021,0.05791012930092653,0.010933370753022762,0.051386821595258425,11.380946600000003,-0.16058279999999764,-0.6213894999999976,1.0004729302176034,-1.4838732476959968,9.7702379679296,-0.001785095071194263,0.011930003020255738,-0.14239813958159428,3,1,0,1,30.425457029885372,114.09623523096009,-1534.024997205649,-16970.484833883085,33.79700000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749723723632,387324,1665484681978032984,location,114.33528379999998,30.48909829999999,33.80300000000021,0.058101871172550626,0.010741628881398664,0.052729014696627274,11.380946600000003,-0.17584129999999765,-0.6213894999999976,1.0088903664448032,-1.2998921415871971,9.484045136204799,-0.001518782486894263,0.010198971222305737,-0.14040079519934426,3,1,0,1,30.425457029885372,114.09623523096009,-1533.9118589165405,-16970.478862677537,33.80300000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749742872326,387325,1665484681988012312,location,114.33528379999998,30.48909929999999,33.81000000000021,0.05829361304417473,0.01054988700977457,0.054262949669619864,11.377894900000003,-0.19109979999999763,-0.6305445999999977,1.0377501477952034,-1.635387099785597,9.469615245529598,0.003807469199105737,0.013128409649605738,-0.14266445216589427,3,1,0,1,30.425457029885372,114.09623523096009,-1533.7988656008697,-16970.472725301985,33.81000000000021,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1665537749744547949,387326,1665484681998066904,location,114.33528379999998,30.48910029999999,33.817000000000206,0.05829361304417473,0.01054988700977457,0.055605142770988714,11.380946600000003,-0.20635829999999764,-0.6305445999999977,1.1062921285024034,-1.844620514575997,9.393858319484798,0.001410655940405737,0.01725625470625574,-0.14093342036794426,3,1,0,1,30.425457029885372,114.09623523096009,-1533.6859855041785,-16970.466442111025,33.817000000000206,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
